epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2031.54,0.57521,0.43342,1.05615,0.92823,0.91569,0.95221,0.81386,0.61738,0.42558,1.09184,0.0006734,0.0006734,0.0006734
69,2060.66,0.55176,0.40412,1.02259,0.90624,0.94091,0.95859,0.80898,0.60636,0.43439,1.10401,0.0006536,0.0006536,0.0006536
70,2089.92,0.51278,0.39555,0.99669,0.92149,0.9469,0.95193,0.80862,0.63621,0.45249,1.12421,0.0006338,0.0006338,0.0006338
71,2119.18,0.52771,0.39244,1.01104,0.9308,0.95235,0.94733,0.81257,0.61165,0.43428,1.09365,0.000614,0.000614,0.000614
72,2148.61,0.5248,0.40857,0.99836,0.90629,0.94143,0.96652,0.81836,0.60374,0.42167,1.08253,0.0005942,0.0005942,0.0005942
73,2177.72,0.48731,0.3601,0.96934,0.91437,0.95575,0.97414,0.82973,0.5954,0.42387,1.09888,0.0005744,0.0005744,0.0005744
74,2211.39,0.51787,0.39381,1.00363,0.9003,0.959,0.96865,0.82625,0.61922,0.43248,1.13205,0.0005546,0.0005546,0.0005546
75,2240.72,0.50907,0.38277,1.00157,0.90067,0.93805,0.95613,0.82235,0.62181,0.47704,1.11791,0.0005348,0.0005348,0.0005348
76,2270.31,0.49732,0.37338,0.98376,0.93511,0.9292,0.96258,0.82826,0.60297,0.42769,1.11622,0.000515,0.000515,0.000515
77,2299.59,0.47773,0.35196,0.97396,0.92965,0.9355,0.96255,0.82682,0.61051,0.43517,1.10417,0.0004952,0.0004952,0.0004952
78,2328.95,0.50363,0.37849,1.00256,0.87282,0.9646,0.95127,0.81891,0.59895,0.43872,1.11211,0.0004754,0.0004754,0.0004754
79,2358.1,0.49909,0.3738,0.99872,0.9007,0.93805,0.95427,0.81659,0.58987,0.45592,1.11237,0.0004556,0.0004556,0.0004556
80,2387.87,0.50222,0.36719,1.00405,0.91368,0.93667,0.95057,0.80663,0.60703,0.47646,1.11272,0.0004358,0.0004358,0.0004358
81,2416.92,0.49124,0.36313,1.00194,0.93472,0.90265,0.95649,0.81506,0.5929,0.46953,1.12493,0.000416,0.000416,0.000416
82,2446.14,0.46705,0.34655,0.9674,0.89416,0.9469,0.96575,0.8368,0.58918,0.44018,1.10215,0.0003962,0.0003962,0.0003962
83,2475.68,0.47629,0.34099,0.98864,0.8913,0.94338,0.97021,0.84135,0.59454,0.45532,1.09873,0.0003764,0.0003764,0.0003764
84,2506.5,0.47139,0.34608,0.97665,0.94223,0.89381,0.97014,0.84215,0.59334,0.44367,1.10366,0.0003566,0.0003566,0.0003566
85,2536.22,0.47995,0.34873,0.97664,0.90609,0.9469,0.97146,0.84261,0.59316,0.43693,1.08753,0.0003368,0.0003368,0.0003368
86,2566.49,0.45658,0.33883,0.9595,0.90505,0.95575,0.96865,0.83075,0.5976,0.43878,1.08679,0.000317,0.000317,0.000317
87,2595.56,0.44082,0.31273,0.94828,0.89814,0.95575,0.97624,0.84512,0.59284,0.41118,1.1005,0.0002972,0.0002972,0.0002972
88,2626.61,0.47148,0.33402,0.98349,0.92167,0.93714,0.97355,0.84768,0.58861,0.41065,1.09308,0.0002774,0.0002774,0.0002774
89,2656.43,0.44595,0.32059,0.9481,0.89888,0.9646,0.97183,0.84084,0.59236,0.41924,1.08801,0.0002576,0.0002576,0.0002576
90,2685.52,0.4432,0.31216,0.95231,0.90487,0.93805,0.96954,0.84613,0.59379,0.42495,1.09105,0.0002378,0.0002378,0.0002378
91,2718.48,0.44773,0.31938,0.9461,0.93173,0.93805,0.9701,0.82606,0.6336,0.43011,1.13529,0.000218,0.000218,0.000218
92,2747.59,0.44358,0.3115,0.93957,0.90787,0.95923,0.96084,0.8272,0.60796,0.41472,1.12708,0.0001982,0.0001982,0.0001982
93,2776.6,0.41662,0.28119,0.93104,0.91791,0.92035,0.96012,0.82888,0.59168,0.41282,1.11584,0.0001784,0.0001784,0.0001784
94,2805.94,0.41437,0.27736,0.92732,0.90469,0.9469,0.96175,0.83519,0.59249,0.42908,1.11074,0.0001586,0.0001586,0.0001586
95,2834.97,0.39922,0.27791,0.91848,0.89932,0.95575,0.96035,0.8311,0.59493,0.43984,1.10447,0.0001388,0.0001388,0.0001388
96,2864.02,0.40106,0.26482,0.89946,0.89067,0.95575,0.96337,0.82794,0.60205,0.44045,1.1153,0.000119,0.000119,0.000119
97,2892.91,0.41598,0.28288,0.92198,0.88184,0.95575,0.96762,0.8301,0.60565,0.42968,1.11239,9.92e-05,9.92e-05,9.92e-05
98,2921.87,0.38606,0.26314,0.90023,0.88153,0.95575,0.96624,0.83857,0.60222,0.42617,1.11064,7.94e-05,7.94e-05,7.94e-05
99,2950.8,0.38817,0.25987,0.91507,0.90906,0.9292,0.96601,0.82938,0.60247,0.4213,1.11198,5.96e-05,5.96e-05,5.96e-05
100,2979.78,0.39198,0.25724,0.90537,0.94425,0.89928,0.9678,0.83607,0.59993,0.42473,1.11083,3.98e-05,3.98e-05,3.98e-05
